Image_ID,Gender,Object_Class,Relative_Size,3D_Distance,Normalized_Depth,Scene_Similarity_Bias
metadata_000000395606,1,baseball bat,0.284700436,30.67774617,56.31172579,0.000627219
metadata_000000003124,1,backpack,0.035453039,51.3423861,33.96417332,0.001634841
metadata_000000397815,1,umbrella,0.515599204,37.96328493,57.67811976,0.000271416
metadata_000000263043,1,frisbee,0.03063033,5.989575876,38.1349481,0.002648083
metadata_000000527040,0,bird,0.408097394,70.82108113,28.99203346,0.001334263
metadata_000000394572,1,bowl,0.026412322,40.21765664,68.39869281,-0.000452142
metadata_000000003590,1,umbrella,0.196142304,176.2606076,18.52335379,-0.000951492
metadata_000000004498,1,skateboard,0.069454903,21.43220069,65.34806864,0.000283894
metadata_000000396354,1,baseball bat,0.075509837,38.67642305,48.11039687,0.00096663
metadata_000000394892,0,car,0.134667822,100.2248237,21.45005428,0.001032302
metadata_000000396106,1,couch,0.320949552,21.99433359,68.91092302,-6.55E-05
metadata_000000004042,1,chair,0.007064657,147.331326,12.28274026,0.000309318
metadata_000000000113,1,dining table,1.40275499,85.61401899,44.19732075,-0.000409539
metadata_000000132574,0,car,0.068852262,168.7272853,6.679764628,6.22E-05
metadata_000000003988,0,bicycle,0.650833952,51.74928961,69.04835365,-0.001029426
metadata_000000395665,0,sports ball,0.002494266,0.266468162,78.1712963,-4.99E-05
metadata_000000000542,1,airplane,6.732030859,36.64018121,25.16506581,0.001259779
metadata_000000000831,1,car,0.009718079,106.0432059,2.68907563,0.002142769
metadata_000000134454,1,sports ball,0.004450966,41.70840345,39.79820261,0.00141146
metadata_000000134494,1,skateboard,0.480250082,13.21497106,61.87901613,0.00059151
metadata_000000135676,1,cup,0.046387539,23.62128663,74.54039102,-0.000511782
metadata_000000266217,0,kite,8.796570612,54.59752803,25.66006189,0.000267597
metadata_000000525668,1,bowl,0.18681754,55.18022158,33.58543417,0.001398461
metadata_000000134454,1,chair,0.011168924,106.3046531,12.57359084,0.00141146
metadata_000000527229,1,tv,0.170093603,23.0907449,34.47807523,0.002257123
metadata_000000525813,1,cow,0.839564864,54.78496812,25.94024881,0.001803537
metadata_000000135327,1,tv,0.147413391,104.9853822,11.14977169,0.001516133
metadata_000000527086,1,bottle,0.016737285,78.01495405,30.09250399,0.0010003
metadata_000000528305,1,baseball glove,0.010188041,53.61586705,45.9204793,0.000600895
metadata_000000396106,1,remote,0.024210535,18.95147455,69.78607167,-6.55E-05
metadata_000000395291,1,sports ball,0.003695966,131.4117366,10.6522609,0.000802609
metadata_000000134496,0,potted plant,0.065076979,135.3776601,8.39065785,0.000832765
metadata_000000004385,1,cup,0.121100379,66.84485259,21.574492,0.001883112
metadata_000000526257,1,baseball glove,0.023743015,9.999204327,66.5966707,0.000407714
metadata_000000003488,1,sports ball,0.02541465,48.3366978,52.63739979,0.000271472
metadata_000000004834,0,cup,0.036868394,24.29607463,78.39713663,-0.000830191
metadata_000000263878,1,bowl,0.07356622,71.3420031,66.78616318,-0.001393444
metadata_000000002184,1,tennis racket,0.076009316,104.8472008,15.05260215,0.001230656
metadata_000000132889,1,cup,0.061918121,39.64921967,48.23801743,0.000794215
metadata_000000524672,1,baseball glove,0.008720109,105.5755582,18.60187553,0.000961891
metadata_000000262893,1,sports ball,0.036711795,10.3890686,61.76247292,0.000701271
metadata_000000526445,1,baseball bat,0.059429885,32.52150727,42.49149473,0.001378697
metadata_000000004139,0,sports ball,0.002522089,32.15992506,59.60784314,0.000190452
metadata_000000526247,1,chair,0.102679397,103.3535568,12.39220397,0.001394098
metadata_000000265139,1,sports ball,0.009310011,53.26351039,34.3985345,0.001320886
metadata_000000134496,0,handbag,0.233807759,16.92750358,55.74174174,0.000832765
metadata_000000395241,0,car,0.096122527,172.5798685,12.39522291,-0.000620536
metadata_000000527086,1,cup,0.017974893,53.64609964,38.51969617,0.0010003
metadata_000000396172,1,tv,0.198251005,136.638756,0.89333193,0.001179479
metadata_000000262353,1,dining table,0.37978175,73.4260228,50.90562821,-0.000512196
metadata_000000001488,1,skateboard,0.205149806,10.89768936,47.91022678,0.001532972
metadata_000000395634,0,handbag,0.134485283,32.01109772,76.18722624,-0.001036297
metadata_000000525382,1,skateboard,0.037450531,4.512422105,58.57982469,0.000993514
metadata_000000262299,1,motorcycle,2.532837733,1.767701462,37.53422005,0.002032506
metadata_000000397859,1,car,0.637070094,58.44499865,19.38540011,0.002024136
metadata_000000000113,1,cake,0.498088029,75.15627253,47.70689891,-0.000409539
metadata_000000524333,0,dining table,1.207535455,64.36819414,49.55984927,-0.000381165
metadata_000000264659,1,bird,5.033499391,70.38045816,21.33363502,0.000653003
metadata_000000398099,0,sports ball,0.003144631,4.759391333,75.15006002,-0.000211442
metadata_000000262200,1,dining table,1.249401105,16.31694754,46.54872108,0.001185774
metadata_000000397619,0,bottle,0.062792134,57.29665561,58.01220488,-0.000563225
metadata_000000393428,0,hot dog,1.502733685,35.2905594,73.36569543,-0.001283746
metadata_000000526247,1,pizza,0.302306589,28.96823906,40.86126323,0.001394098
metadata_000000394418,1,tennis racket,0.159872417,26.68342744,35.49641417,0.001842597
metadata_000000396172,1,chair,0.498686721,33.8430398,41.01116591,0.001179479
metadata_000000131280,1,baseball glove,0.043936978,23.94513229,57.32167949,0.000418038
metadata_000000525567,0,traffic light,0.0410364,107.2886778,16.15635998,0.000871839
metadata_000000264884,1,sports ball,0.001625323,79.7648532,22.09150327,0.001259251
metadata_000000002239,0,sports ball,0.006744249,144.9571799,10.113601,0.000206115
metadata_000000000113,1,cup,0.036159239,75.67992271,47.62297902,-0.000409539
metadata_000000524420,0,car,0.049493852,159.4984984,19.80473759,-0.000900052
metadata_000000395904,1,bottle,0.110542221,79.21261785,48.99087547,-0.00063606
metadata_000000395365,0,skateboard,0.093582978,11.95479575,59.37890341,0.00057718
metadata_000000134858,1,chair,0.088664886,61.56174295,29.97860963,0.001186087
metadata_000000526126,1,skateboard,0.305443936,29.49868791,53.85232983,0.000405134
metadata_000000397664,1,backpack,0.126919837,8.111992836,44.31372549,0.001717936
metadata_000000000731,0,umbrella,0.867053417,48.26830934,54.65872543,-0.0003275
metadata_000000525567,0,bus,0.440000073,113.4017187,11.56029175,0.000871839
metadata_000000002890,1,car,0.366115211,76.774632,36.3899267,0.000213978
metadata_000000132889,1,pizza,0.281642986,37.88248596,44.42950196,0.000794215
metadata_000000397636,0,cup,0.061249971,74.95935302,48.30470874,-0.00050496
metadata_000000526186,1,oven,0.513744991,17.51514397,33.98019182,0.002043319
metadata_000000133090,1,tennis racket,0.061349854,21.45207029,59.16085786,0.00026264
metadata_000000526165,0,bowl,0.017522334,68.47977577,60.53280789,-0.001183706
metadata_000000394572,1,dining table,1.885161314,34.20734923,58.92585265,-0.000452142
metadata_000000267111,1,suitcase,0.243480605,54.4970546,53.3309288,-0.000329201
metadata_000000528720,1,skateboard,0.193224304,23.49698264,49.35919295,0.000851849
metadata_000000397042,1,bottle,0.017882939,74.42868282,26.64962777,0.000988814
metadata_000000395766,0,dining table,0.47832451,20.81144028,36.37378873,0.001769184
metadata_000000266773,1,bottle,0.0031438,158.5606405,10.44183007,-0.00031491
metadata_000000131211,1,umbrella,2.303778291,40.05404942,51.95687555,-0.000236087
metadata_000000394535,1,bus,6.336148475,40.22084229,47.12282139,-0.000704034
metadata_000000001586,0,car,0.336800855,106.1232875,7.207331628,0.001350433
metadata_000000265810,1,pizza,0.152513361,41.13357201,55.75717055,-0.000126492
metadata_000000135966,0,car,0.294355982,93.68658823,27.81393408,0.000267787
metadata_000000001315,0,bicycle,0.152865735,76.03322812,19.59036421,0.001366101
metadata_000000525567,0,car,0.183312717,106.0386176,14.14064813,0.000871839
metadata_000000527194,1,sports ball,0.033191128,22.51827496,45.28720868,0.001145561
metadata_000000264250,0,suitcase,0.203065587,19.89063011,79.30790287,-0.001180539
metadata_000000528687,0,book,0.026658082,9.891799815,74.10981784,-0.000495884
metadata_000000395445,1,couch,0.949217382,5.493085791,46.39116406,0.001377026
metadata_000000133486,1,bowl,0.062091865,6.22969128,60.54766734,0.000543355
metadata_000000527086,1,chair,0.41855171,19.7381758,47.34090439,0.0010003
metadata_000000393442,1,umbrella,0.285175059,24.05163488,58.90718071,9.67E-05
metadata_000000266311,1,bicycle,0.773836394,50.28255117,34.96889323,0.000904884
metadata_000000265462,1,skateboard,0.12747121,17.58855596,53.89119867,0.000641475
metadata_000000264358,1,hot dog,0.515716891,122.9306722,13.60269135,0.000325932
metadata_000000527486,0,sports ball,0.004568472,15.91305025,56.74730498,0.000511322
metadata_000000003272,1,umbrella,0.697023198,27.0666039,55.73553708,0.000121729
metadata_000000003827,1,dining table,1.109374734,0.998659296,59.55548435,0.000525684
metadata_000000396972,1,car,0.213476022,152.7149779,0.874457748,0.000398375
metadata_000000264712,0,bowl,0.360212009,70.72645784,50.8402907,-0.000749832
metadata_000000002083,0,clock,0.050545648,48.98755119,49.9546821,-4.55E-06
metadata_000000527486,0,tennis racket,0.095140466,49.20261087,42.23317215,0.000511322
metadata_000000003967,0,handbag,0.358750566,28.73818525,64.02907037,-0.000469498
metadata_000000397636,0,pizza,0.270186032,71.40332954,46.97718845,-0.00050496
metadata_000000003870,0,chair,0.245233946,55.69532487,43.58233024,0.000178587
metadata_000000134198,1,skateboard,0.321516595,8.981608317,59.203211,0.000420391
metadata_000000395347,1,skateboard,0.551099859,12.48827011,60.01617189,0.000215373
metadata_000000524844,1,skateboard,0.108166917,15.80297309,24.83369925,0.002653453
metadata_000000004684,0,tie,0.062184196,31.81480244,68.75572169,-0.000857489
metadata_000000132132,1,orange,0.148897296,94.41443088,15.43681917,0.001017924
metadata_000000265139,1,tennis racket,0.111659241,26.34136993,39.43229527,0.001320886
metadata_000000395364,1,motorcycle,0.40794565,18.07976195,78.61031737,-0.001230548
metadata_000000133486,1,bottle,0.015622944,51.12540178,40.50391624,0.000543355
metadata_000000132141,1,skateboard,0.449555704,26.55208941,28.49385138,0.001995901
metadata_000000395225,1,chair,0.200428089,39.6622077,29.3637648,0.001598895
metadata_000000397454,0,skateboard,0.142707977,20.54577768,66.78336213,-0.000444199
metadata_000000132038,1,frisbee,0.013699353,90.64804555,27.03680403,0.000317307
metadata_000000528305,1,baseball bat,0.071759909,27.9923002,48.73363902,0.000600895
metadata_000000395445,1,laptop,0.22276707,14.71389888,42.4989858,0.001377026
metadata_000000524536,1,umbrella,0.01334888,126.2534693,18.77477767,-0.000155316
metadata_000000001947,1,laptop,0.339038915,44.9752951,43.26071169,0.000419684
metadata_000000524333,0,bowl,0.083919483,36.98737121,58.73860655,-0.000381165
metadata_000000394529,0,handbag,0.154125839,14.40237971,57.93325792,0.000311619
metadata_000000134297,1,handbag,0.101965319,13.81613663,54.75445596,0.000558239
metadata_000000133486,1,cup,0.015742,61.60347364,35.35963408,0.000543355
metadata_000000529137,1,baseball glove,0.023918915,0.104834258,69.85238832,-8.50E-05
metadata_000000398246,0,bus,1.334488036,116.9214416,37.38873431,-0.001465551
metadata_000000000927,0,backpack,0.010385047,176.0995463,9.802273851,-0.000994849
metadata_000000134986,0,boat,4.985095434,49.58623262,53.95705444,-0.001397044
metadata_000000265933,0,sports ball,0.004930055,166.7721833,5.31986532,-0.000416411
metadata_000000266587,1,cup,0.017035604,16.60826894,43.2800535,0.001269515
metadata_000000396105,1,skateboard,0.13754966,40.01420343,50.84593838,3.88E-05
metadata_000000002585,0,bowl,0.149091113,71.6522188,69.9510569,-0.002210935
metadata_000000132615,1,baseball glove,0.027010401,13.85771185,47.99646706,0.001002374
metadata_000000397701,1,car,1.578884472,52.18742989,37.93070951,0.000286429
metadata_000000134297,1,umbrella,0.549101205,28.64375987,46.6676322,0.000558239
metadata_000000395339,1,motorcycle,1.15666312,41.00296744,40.32087598,0.000522467
metadata_000000132038,1,tennis racket,0.205127666,0.448073532,62.56917785,0.000317307
metadata_000000528213,1,skateboard,0.075875565,24.55885012,63.86178862,-0.000447471
metadata_000000527828,1,chair,0.034936657,107.1997142,8.380307136,0.001032935
metadata_000000397210,1,bus,2.118802267,91.06572544,27.43178961,-0.000244431
metadata_000000397467,0,truck,7.031145545,26.73823681,61.31266673,-0.001727014
metadata_000000003827,1,cup,0.04543594,0.094287944,59.75950666,0.000525684
metadata_000000397899,1,kite,0.107887643,17.23782199,51.24092819,0.00060074
metadata_000000135676,1,chair,0.061244793,11.63960111,69.46482641,-0.000511782
metadata_000000136042,1,bus,0.484219103,85.87236383,7.2644081,0.00158518
metadata_000000000338,1,refrigerator,1.020845115,2.316525045,43.39373139,0.001375084
metadata_000000525721,1,bird,1.683670349,77.67525317,20.62582298,0.00064943
metadata_000000002083,0,bottle,0.035939267,46.11419519,47.77306469,-4.55E-06
metadata_000000000241,1,remote,0.006617406,12.96581285,39.08776844,0.00156101
metadata_000000526350,0,tennis racket,0.112241283,30.02659127,57.44631991,-0.00023698
metadata_000000398036,0,cup,0.029135658,68.56193061,46.83151421,-0.000609545
metadata_000000131418,1,umbrella,0.574483178,6.868550784,51.34799924,0.000749104
metadata_000000524314,1,teddy bear,0.771038595,11.66042272,34.24185711,0.001761864
metadata_000000527691,0,bottle,0.036360557,54.52547834,36.55525847,0.000497992
metadata_000000528167,1,skateboard,0.342519912,22.78636968,61.12853456,-0.000363947
metadata_000000394879,0,donut,0.044077563,89.82028432,45.07818774,-0.001131369
metadata_000000003770,0,sports ball,0.004892969,83.03095603,13.61783929,0.001261651
metadata_000000527907,1,potted plant,0.146906146,46.70480787,29.19853362,0.001197673
metadata_000000133556,1,baseball glove,0.023140141,14.82894663,54.60675381,0.000373601
metadata_000000525206,1,truck,1.41409676,0.426466,36.99084937,0.001732041
metadata_000000001966,1,tennis racket,0.057930623,16.98755587,60.66303801,-0.000145536
metadata_000000395214,1,car,0.135560021,96.17698295,11.81234568,0.000950546
metadata_000000132615,1,sports ball,0.002963566,40.68826595,34.45098039,0.001002374
metadata_000000394246,1,skateboard,0.114648628,17.73805288,53.92232655,0.000286314
metadata_000000000795,1,train,1.811781043,80.18465992,14.61933769,0.000882202
metadata_000000524819,1,tennis racket,0.049685116,14.54404888,25.88954584,0.002336345
metadata_000000393743,0,sports ball,0.114623265,42.43227323,81.7824994,-0.002373567
metadata_000000396385,1,cup,0.002714314,61.0309754,15.68025059,0.001711198
metadata_000000001864,1,chair,0.055863813,97.63649615,10.1131492,0.001028756
metadata_000000004739,1,cow,1.97391629,30.3135932,49.25008487,-0.00013374
metadata_000000264511,1,sports ball,0.004640538,64.4934673,18.02768166,0.001437467
metadata_000000524333,0,cup,0.026356709,53.86385546,48.25816993,-0.000381165
metadata_000000395214,1,skateboard,0.163950967,19.42195833,43.00699181,0.000950546
metadata_000000000831,1,skateboard,0.225903609,11.46095296,28.95821899,0.002142769
metadata_000000004498,1,potted plant,0.067536596,139.9502998,2.765794393,0.000283894
metadata_000000393251,1,dining table,0.780718879,65.17023982,38.48036895,-0.000185614
metadata_000000528936,1,bicycle,0.238121541,41.70148316,42.7197144,0.000298312
metadata_000000524420,0,bicycle,0.039749901,154.9583245,13.46848766,-0.000900052
metadata_000000133845,1,bicycle,1.098724754,7.200300789,70.5267997,-0.000812382
metadata_000000000338,1,clock,0.042553396,48.23570005,25.06061114,0.001375084
metadata_000000132077,0,bottle,0.168994931,73.279832,51.10846854,-0.001186778
metadata_000000394245,1,baseball glove,0.021823793,12.94127628,59.81654783,-2.76E-05
metadata_000000003091,0,bottle,0.175817169,130.5151632,24.24809727,-0.000982228
metadata_000000002377,1,truck,0.314138449,171.9533406,9.397669209,-0.001188664
metadata_000000527828,1,bottle,0.013668052,112.7997828,2.865709154,0.001032935
metadata_000000529126,0,bottle,0.018286065,65.50895959,55.25339367,-0.001262852
metadata_000000262359,1,bottle,0.452650117,64.51265545,34.66114744,0.000113323
metadata_000000132954,1,umbrella,0.664533965,22.84637444,17.4585148,0.002472079
metadata_000000000999,1,baseball glove,0.062293513,21.02473416,44.51280287,0.000759455
metadata_000000262359,1,wine glass,0.337524881,60.75740098,36.43056061,0.000113323
metadata_000000395364,1,umbrella,0.296230766,59.34130739,56.30912559,-0.001230548
metadata_000000396385,1,chair,0.069144617,45.62017041,20.37864738,0.001711198
metadata_000000000257,1,bus,2.434760396,74.79083818,20.40274195,0.000394587
metadata_000000396385,1,tie,0.094454769,6.217587348,36.50729377,0.001711198
metadata_000000528465,1,sports ball,0.005178722,3.280619916,51.93286275,0.000737857
metadata_000000131374,0,chair,0.574727962,36.665095,51.87324517,-0.000343862
metadata_000000003366,1,horse,5.497435162,23.80118827,39.10248769,-5.88E-05
metadata_000000396972,1,skateboard,0.168873543,12.67688812,52.26768968,0.000398375
metadata_000000397980,1,frisbee,0.07345111,2.258047173,41.68003565,0.00145351
metadata_000000136042,1,car,0.333910315,61.93644097,14.27268195,0.00158518
metadata_000000394071,0,bench,0.533796834,8.053276878,71.79867827,-0.000907563
metadata_000000264375,0,traffic light,0.042581155,120.8287278,25.35467128,-0.000841312
metadata_000000002377,1,motorcycle,0.363655909,124.2615226,27.91533076,-0.001188664
metadata_000000525668,1,refrigerator,3.192158635,26.76824981,23.0506421,0.001398461
metadata_000000132529,0,chair,0.723633681,14.47286051,49.0489123,0.000424871
metadata_000000395445,1,potted plant,0.357994743,30.12724156,29.85528342,0.001377026
metadata_000000002239,0,tennis racket,0.418061905,43.41690122,40.98809179,0.000206115
metadata_000000131115,1,baseball glove,0.018410608,13.30703726,42.55159535,0.001040735
metadata_000000262200,1,cup,0.024905369,56.48990874,22.49125619,0.001185774
metadata_000000396853,0,car,0.466620715,103.0394933,14.07187477,0.000339749
metadata_000000133229,0,chair,0.142239846,27.25077764,41.70484617,0.000663745
metadata_000000263504,1,umbrella,4.206551766,39.78840264,32.32418332,0.000148454
metadata_000000528465,1,tennis racket,0.172307994,14.6424615,45.62757944,0.000737857
metadata_000000527173,1,bicycle,1.996817185,2.972431684,47.83363761,0.000559789
metadata_000000004138,1,skateboard,0.138805737,4.239212956,47.83551727,0.000888896
metadata_000000135524,0,umbrella,1.153102436,34.14149413,61.16858714,-0.001104373
metadata_000000000036,0,umbrella,1.417858252,25.44449022,46.52938569,0.000112676
metadata_000000262200,1,cake,0.061847438,42.10402633,28.03847551,0.001185774
metadata_000000264511,1,tennis racket,0.050771564,15.0806216,35.53286676,0.001437467
metadata_000000004578,1,dining table,2.767674129,42.63606961,33.9409949,0.000207291
metadata_000000004736,1,car,0.081991813,119.3045044,2.751235079,0.00068775
metadata_000000002691,1,chair,1.600083542,8.534574856,33.22501536,0.001464413
metadata_000000134574,1,bowl,0.35360215,26.53551532,25.77826585,0.001704692
metadata_000000262686,1,car,0.378905883,77.56907179,11.91705403,0.001183759
metadata_000000525678,1,handbag,0.127270845,1.433956024,52.35205452,0.000616119
metadata_000000527277,1,baseball bat,0.123282155,81.92634223,17.8630031,0.000677151
metadata_000000000795,1,suitcase,0.074374002,63.1136973,22.85592498,0.000882202
metadata_000000132141,1,bicycle,0.05671887,63.86214602,6.571362351,0.001995901
metadata_000000135508,1,skateboard,0.122990646,47.50256888,40.05184138,0.000120599
metadata_000000396418,1,chair,0.187399238,100.6200033,20.17110428,-4.35E-05
metadata_000000004275,1,skateboard,0.101473521,15.89792393,48.11887592,0.000473874
metadata_000000395198,0,car,0.073972274,160.7347624,4.510204082,-0.000669819
